# Turbidity, FNU._FNU@03254520.20180201.csv generated at 2018-07-09 04:22:27 (UTC+00:00) by AQUARIUS 18.1.204.0
# 
# Time series identifier: Turbidity, FNU._FNU@03254520
# Location: LICKING RIVER AT HWY 536 NEAR ALEXANDRIA, KY
# UTC offset: (UTC-05:00)
# Value units: _FNU
# Value parameter: Turbidity, FNU
# Interpolation type: Instantaneous Values
# Time series type: Derived
# 
# Export options: Corrected signal from 2018-02-01T05:00:00Z to 2018-07-09T04:59:00Z
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC, Timestamp (UTC-05:00), Value, Approval Level, Grade, Qualifiers
2018-04-26T21:00:00Z,2018-04-26 16:00:00,1019,Working,50,"EQUIP"
2018-04-26T21:15:00Z,2018-04-26 16:15:00,1030,Working,50,"EQUIP"
2018-04-26T21:30:00Z,2018-04-26 16:30:00,1042,Working,50,"EQUIP"
2018-04-26T21:45:00Z,2018-04-26 16:45:00,1041,Working,50,"EQUIP"
2018-04-26T22:00:00Z,2018-04-26 17:00:00,1050,Working,50,"EQUIP"
2018-04-26T22:15:00Z,2018-04-26 17:15:00,1048,Working,50,"EQUIP"
2018-04-26T22:30:00Z,2018-04-26 17:30:00,1055,Working,50,"EQUIP"
2018-04-26T22:45:00Z,2018-04-26 17:45:00,1062,Working,50,"EQUIP"
2018-04-26T23:00:00Z,2018-04-26 18:00:00,1057,Working,50,"EQUIP"
2018-04-26T23:15:00Z,2018-04-26 18:15:00,1053,Working,50,"EQUIP"
2018-04-26T23:30:00Z,2018-04-26 18:30:00,1062,Working,50,"EQUIP"
2018-04-26T23:45:00Z,2018-04-26 18:45:00,1061,Working,50,"EQUIP"
2018-04-27T00:00:00Z,2018-04-26 19:00:00,1060,Working,50,"EQUIP"
2018-04-27T00:15:00Z,2018-04-26 19:15:00,1056,Working,50,"EQUIP"
2018-04-27T00:30:00Z,2018-04-26 19:30:00,1063,Working,50,"EQUIP"
2018-04-27T00:45:00Z,2018-04-26 19:45:00,1062,Working,50,"EQUIP"
2018-04-27T01:00:00Z,2018-04-26 20:00:00,1068,Working,50,"EQUIP"
2018-04-27T01:15:00Z,2018-04-26 20:15:00,1061,Working,50,"EQUIP"
2018-04-27T01:30:00Z,2018-04-26 20:30:00,1082,Working,50,"EQUIP"
2018-04-27T01:45:00Z,2018-04-26 20:45:00,1090,Working,50,"EQUIP"
2018-04-27T02:00:00Z,2018-04-26 21:00:00,1075,Working,50,"EQUIP"
2018-04-27T02:15:00Z,2018-04-26 21:15:00,1078,Working,50,"EQUIP"
2018-04-27T02:30:00Z,2018-04-26 21:30:00,1094,Working,50,"EQUIP"
2018-04-27T02:45:00Z,2018-04-26 21:45:00,1086,Working,50,"EQUIP"
2018-04-27T03:00:00Z,2018-04-26 22:00:00,1091,Working,50,"EQUIP"
2018-04-27T03:15:00Z,2018-04-26 22:15:00,1087,Working,50,"EQUIP"
2018-04-27T03:30:00Z,2018-04-26 22:30:00,1091,Working,50,"EQUIP"
2018-04-27T03:45:00Z,2018-04-26 22:45:00,1091,Working,50,"EQUIP"
2018-04-27T04:00:00Z,2018-04-26 23:00:00,1108,Working,50,"EQUIP"
2018-04-27T04:15:00Z,2018-04-26 23:15:00,1098,Working,50,"EQUIP"
2018-04-27T04:30:00Z,2018-04-26 23:30:00,1100,Working,50,"EQUIP"
2018-04-27T04:45:00Z,2018-04-26 23:45:00,1096,Working,50,"EQUIP"
2018-04-27T05:00:00Z,2018-04-27 00:00:00,1109,Working,50,"EQUIP"
2018-04-27T05:15:00Z,2018-04-27 00:15:00,1114,Working,50,"EQUIP"
2018-04-27T05:30:00Z,2018-04-27 00:30:00,1112,Working,50,"EQUIP"
2018-04-27T05:45:00Z,2018-04-27 00:45:00,1106,Working,50,"EQUIP"
2018-04-27T06:00:00Z,2018-04-27 01:00:00,1109,Working,50,"EQUIP"
2018-04-27T06:15:00Z,2018-04-27 01:15:00,1116,Working,50,"EQUIP"
2018-04-27T06:30:00Z,2018-04-27 01:30:00,1121,Working,50,"EQUIP"
2018-04-27T06:45:00Z,2018-04-27 01:45:00,1113,Working,50,"EQUIP"
2018-04-27T07:00:00Z,2018-04-27 02:00:00,1114,Working,50,"EQUIP"
2018-04-27T07:15:00Z,2018-04-27 02:15:00,1124,Working,50,"EQUIP"
2018-04-27T07:30:00Z,2018-04-27 02:30:00,1118,Working,50,"EQUIP"
2018-04-27T07:45:00Z,2018-04-27 02:45:00,1125,Working,50,"EQUIP"
2018-04-27T08:00:00Z,2018-04-27 03:00:00,1129,Working,50,"EQUIP"
2018-04-27T08:15:00Z,2018-04-27 03:15:00,1124,Working,50,"EQUIP"
2018-04-27T08:30:00Z,2018-04-27 03:30:00,1135,Working,50,"EQUIP"
2018-04-27T08:45:00Z,2018-04-27 03:45:00,1122,Working,50,"EQUIP"
2018-04-27T09:00:00Z,2018-04-27 04:00:00,1117,Working,50,"EQUIP"
2018-04-27T09:15:00Z,2018-04-27 04:15:00,1131,Working,50,"EQUIP"
2018-04-27T09:30:00Z,2018-04-27 04:30:00,1132,Working,50,"EQUIP"
2018-04-27T09:45:00Z,2018-04-27 04:45:00,1134,Working,50,"EQUIP"
2018-04-27T10:00:00Z,2018-04-27 05:00:00,1141,Working,50,"EQUIP"
2018-04-27T10:15:00Z,2018-04-27 05:15:00,1126,Working,50,"EQUIP"
2018-04-27T10:30:00Z,2018-04-27 05:30:00,1136,Working,50,"EQUIP"
2018-04-27T10:45:00Z,2018-04-27 05:45:00,1131,Working,50,"EQUIP"
2018-04-27T11:00:00Z,2018-04-27 06:00:00,1131,Working,50,"EQUIP"
